clip_id,frame,track_id,x1,y1,x2,y2,confianza,confirmado,reid_sim,track_id_bytetrack
retail_iprox_caja,34,1,7.5,150.4,296.9,713.1,0.8753,1,,1
retail_iprox_caja,34,2,1008.3,24.7,1150.1,361.2,0.8435,1,,2
retail_iprox_caja,35,1,7.7,150.4,297.1,713.0,0.8749,1,,1
retail_iprox_caja,35,2,1011.3,26.7,1152.6,359.9,0.838,1,,2
retail_iprox_caja,36,1,8.0,150.4,297.3,712.9,0.876,1,,1
retail_iprox_caja,36,2,1015.3,28.9,1157.8,361.9,0.8274,1,,2
retail_iprox_caja,37,1,7.9,150.2,297.2,713.0,0.8744,1,,1
retail_iprox_caja,37,2,1019.5,31.2,1163.0,361.6,0.8083,1,,2
retail_iprox_caja,38,1,8.3,150.2,296.9,710.6,0.8747,1,,1
retail_iprox_caja,38,2,1028.1,37.4,1171.3,358.8,0.6996,1,,2
retail_iprox_caja,39,1,8.3,150.2,296.8,709.8,0.8747,1,,1
retail_iprox_caja,39,2,1030.2,39.6,1175.2,357.8,0.7018,1,,2
retail_iprox_caja,40,1,8.2,150.2,296.9,709.4,0.8753,1,,1
retail_iprox_caja,41,1,6.2,149.7,296.0,711.4,0.8646,1,,1
retail_iprox_caja,42,1,5.5,149.4,295.6,712.0,0.8629,1,,1
retail_iprox_caja,43,1,5.3,149.2,295.4,712.2,0.8624,1,,1
retail_iprox_caja,44,1,5.2,149.2,295.3,712.3,0.8614,1,,1
retail_iprox_caja,45,1,5.2,149.1,295.2,712.3,0.8614,1,,1
retail_iprox_caja,46,1,5.3,149.2,295.1,712.4,0.8614,1,,1
retail_iprox_caja,47,1,5.5,149.2,295.2,712.3,0.8614,1,,1
retail_iprox_caja,47,2,1114.8,39.6,1202.0,214.1,0.5188,1,,2
retail_iprox_caja,48,1,5.5,149.2,295.2,712.4,0.8612,1,,1
retail_iprox_caja,49,1,5.5,149.2,295.1,712.3,0.8607,1,,1
retail_iprox_caja,50,1,5.4,149.1,294.8,712.3,0.8598,1,,1
retail_iprox_caja,51,1,5.4,149.1,294.7,712.4,0.86,1,,1
retail_iprox_caja,52,1,5.5,149.1,294.8,712.4,0.8621,1,,1
retail_iprox_caja,53,1,5.0,149.1,293.9,712.4,0.8609,1,,1
retail_iprox_caja,54,1,4.7,149.2,293.4,712.3,0.8603,1,,1
retail_iprox_caja,55,1,4.4,149.2,292.7,712.3,0.8595,1,,1
retail_iprox_caja,56,1,3.9,149.2,291.7,712.3,0.8569,1,,1
retail_iprox_caja,57,1,3.9,149.2,291.3,712.3,0.8584,1,,1
retail_iprox_caja,58,1,4.1,149.2,291.1,712.4,0.859,1,,1
retail_iprox_caja,59,1,4.3,149.2,291.0,712.4,0.859,1,,1
retail_iprox_caja,60,1,4.5,149.3,290.7,712.1,0.8523,1,,1
retail_iprox_caja,61,1,4.7,149.4,290.6,712.1,0.8543,1,,1
retail_iprox_caja,62,1,4.8,149.3,290.5,712.0,0.8537,1,,1
retail_iprox_caja,63,1,5.0,149.3,290.4,712.0,0.8546,1,,1
retail_iprox_caja,64,1,5.1,149.4,290.4,712.0,0.8544,1,,1
retail_iprox_caja,65,1,5.4,149.3,290.6,712.1,0.8576,1,,1
retail_iprox_caja,66,1,5.6,149.4,290.6,712.1,0.8567,1,,1
retail_iprox_caja,67,1,5.7,149.5,290.6,712.2,0.8586,1,,1
retail_iprox_caja,68,1,5.8,149.5,290.6,712.2,0.8586,1,,1
retail_iprox_caja,69,1,5.8,149.5,290.5,712.2,0.8573,1,,1
retail_iprox_caja,70,1,5.7,149.5,290.3,712.2,0.8578,1,,1
retail_iprox_caja,71,1,5.6,149.5,290.1,712.2,0.8573,1,,1
retail_iprox_caja,72,1,5.7,149.5,290.0,712.2,0.857,1,,1
retail_iprox_caja,73,1,5.7,149.5,290.0,712.2,0.8571,1,,1
retail_iprox_caja,74,1,5.8,149.5,290.0,712.2,0.8583,1,,1
retail_iprox_caja,75,1,6.1,149.4,290.3,712.2,0.8588,1,,1
retail_iprox_caja,76,1,6.0,149.4,290.1,712.1,0.8573,1,,1
retail_iprox_caja,77,1,6.0,149.5,290.0,712.1,0.8566,1,,1
retail_iprox_caja,78,1,6.1,149.5,290.0,712.1,0.8559,1,,1
retail_iprox_caja,79,1,6.0,149.5,289.9,712.0,0.8546,1,,1
retail_iprox_caja,80,1,6.5,149.5,290.5,712.0,0.8573,1,,1
retail_iprox_caja,81,1,5.0,149.3,287.5,709.2,0.8473,1,,1
retail_iprox_caja,82,1,4.5,149.2,286.4,708.1,0.8489,1,,1
retail_iprox_caja,83,1,4.3,149.2,286.0,707.7,0.8488,1,,1
retail_iprox_caja,84,1,4.2,149.2,285.8,707.6,0.8488,1,,1
retail_iprox_caja,85,1,4.2,149.2,285.6,707.5,0.8486,1,,1
retail_iprox_caja,86,1,4.1,149.2,285.4,707.6,0.8484,1,,1
retail_iprox_caja,87,1,4.1,149.2,285.4,707.6,0.8484,1,,1
retail_iprox_caja,88,1,4.2,149.2,285.3,707.6,0.8484,1,,1
retail_iprox_caja,89,1,4.2,149.2,285.3,707.6,0.8487,1,,1
retail_iprox_caja,90,1,4.6,149.1,286.9,709.9,0.8506,1,,1
retail_iprox_caja,91,1,4.9,149.0,287.6,710.8,0.8511,1,,1
retail_iprox_caja,92,1,5.0,149.0,287.8,711.1,0.8509,1,,1
retail_iprox_caja,93,1,4.8,148.9,287.8,711.2,0.8502,1,,1
retail_iprox_caja,94,1,5.2,148.7,288.3,711.3,0.8515,1,,1
retail_iprox_caja,95,1,5.5,148.7,288.7,711.3,0.8507,1,,1
retail_iprox_caja,96,1,5.7,148.8,289.0,711.3,0.8524,1,,1
retail_iprox_caja,97,1,5.6,148.9,289.0,711.3,0.8524,1,,1
retail_iprox_caja,98,1,5.5,148.8,289.0,711.3,0.8506,1,,1
retail_iprox_caja,99,1,5.4,148.8,289.0,711.2,0.8504,1,,1
retail_iprox_caja,100,1,5.3,148.8,288.9,711.2,0.8505,1,,1
retail_iprox_caja,101,1,5.3,148.8,288.9,711.2,0.8502,1,,1
retail_iprox_caja,102,1,5.1,148.8,288.8,711.1,0.8496,1,,1
retail_iprox_caja,103,1,5.1,148.8,288.7,711.1,0.8501,1,,1
retail_iprox_caja,104,1,5.0,148.7,288.6,711.1,0.8469,1,,1
retail_iprox_caja,105,1,5.2,148.7,288.8,711.0,0.8478,1,,1
retail_iprox_caja,106,1,5.2,148.7,288.9,711.0,0.8476,1,,1
retail_iprox_caja,107,1,5.3,148.7,289.1,711.0,0.8489,1,,1
retail_iprox_caja,108,1,5.1,148.7,288.8,711.0,0.847,1,,1
retail_iprox_caja,109,1,5.0,148.7,288.7,711.1,0.848,1,,1
retail_iprox_caja,110,1,3.8,149.0,286.8,711.1,0.8411,1,,1
retail_iprox_caja,111,1,3.0,149.0,284.1,708.4,0.8419,1,,1
retail_iprox_caja,112,1,2.7,149.0,282.8,707.4,0.8411,1,,1
retail_iprox_caja,113,1,2.8,149.0,282.2,707.0,0.8398,1,,1
retail_iprox_caja,114,1,2.9,149.0,281.9,706.8,0.8401,1,,1
retail_iprox_caja,115,1,2.6,148.9,281.1,706.8,0.8402,1,,1
retail_iprox_caja,116,1,3.1,148.8,281.3,706.7,0.8389,1,,1
retail_iprox_caja,117,1,4.3,148.9,283.6,709.4,0.8428,1,,1
retail_iprox_caja,118,1,4.7,149.0,284.3,710.4,0.8417,1,,1
